Time (s),Voltage (V)
2.160000000000000028e-03,7.043038175922219368e-01
2.200000000000000133e-03,7.210145222665250708e-01
2.239999999999999804e-03,7.355649210004233662e-01
2.279999999999999909e-03,7.478456592294657757e-01
2.320000000000000014e-03,7.577746679108804395e-01
2.360000000000000119e-03,7.652960207208829857e-01
2.399999999999999790e-03,7.703784764979860755e-01
2.439999999999999895e-03,7.730138098083887410e-01
2.480000000000000000e-03,7.732150293999012769e-01
2.520000000000000104e-03,7.710145771008800608e-01
2.560000000000000209e-03,7.664625890422199772e-01
2.599999999999999881e-03,7.596252876559496103e-01
2.639999999999999986e-03,7.505835575038546370e-01
2.680000000000000090e-03,7.394317413929288874e-01
2.720000000000000195e-03,7.262766761944953187e-01
2.759999999999999867e-03,7.112369709996940736e-01
2.799999999999999972e-03,6.944425143397460198e-01
2.840000000000000076e-03,6.760341827102784862e-01
2.880000000000000181e-03,6.561637100048853810e-01
2.919999999999999853e-03,6.349936670277990247e-01
2.959999999999999958e-03,6.126974922709614857e-01
3.000000000000000062e-03,5.894595097743507983e-01
3.040000000000000167e-03,5.654748672324201308e-01
3.079999999999999839e-03,5.409493275902901299e-01
3.119999999999999944e-03,5.160988501596308620e-01
3.160000000000000048e-03,4.911489026931121216e-01
3.200000000000000153e-03,4.663334537567753180e-01
3.239999999999999825e-03,4.418936049527090182e-01
3.279999999999999930e-03,4.180758348410701930e-01
3.320000000000000034e-03,3.951298405078508824e-01
3.360000000000000139e-03,3.733059782812374605e-01
3.399999999999999811e-03,3.528523217104468368e-01
3.439999999999999915e-03,3.340113721170552830e-01
3.480000000000000020e-03,3.170164742768632471e-01
3.520000000000000125e-03,3.020880064993036185e-01
3.559999999999999797e-03,2.894294299041177410e-01
3.599999999999999901e-03,2.792232953856660371e-01
3.640000000000000006e-03,2.716273179329515841e-01
3.680000000000000111e-03,2.667706359912724867e-01
3.720000000000000216e-03,2.647503778196780844e-01
3.759999999999999887e-03,2.656286568203414800e-01
3.799999999999999992e-03,2.694301132239919072e-01
3.840000000000000097e-03,2.761401101054398732e-01
3.880000000000000202e-03,2.857036774636189658e-01
3.919999999999999873e-03,2.980252792353189628e-01
3.959999999999999978e-03,3.129694550529133479e-01
4.000000000000000083e-03,3.303623619654521559e-01
4.040000000000000188e-03,3.499942120993417283e-01
4.080000000000000293e-03,3.716225714129551827e-01
4.120000000000000398e-03,3.949764535281943267e-01
4.159999999999999636e-03,4.197611124365466240e-01
4.199999999999999740e-03,4.456634100587648639e-01
4.239999999999999845e-03,4.723576105457358842e-01
4.279999999999999950e-03,4.995114341103897848e-01
4.320000000000000055e-03,5.267921901791816630e-01
4.360000000000000160e-03,5.538728036175744052e-01
4.400000000000000265e-03,5.804375492966660222e-01
4.440000000000000370e-03,6.061873195692272231e-01
4.479999999999999608e-03,6.308442661848567834e-01
4.519999999999999712e-03,6.541556822851624098e-01
4.559999999999999817e-03,6.758970204947811755e-01
4.599999999999999922e-03,6.958739785291979674e-01
4.640000000000000027e-03,7.139236226432379429e-01
4.680000000000000132e-03,7.299145598801810575e-01
4.720000000000000237e-03,7.437462105368368714e-01
4.760000000000000342e-03,7.553472705659241004e-01
4.799999999999999580e-03,7.646734878717804662e-01
4.839999999999999684e-03,7.717049048465762784e-01
4.879999999999999789e-03,7.764427405183663700e-01
4.919999999999999894e-03,7.789060981535895767e-01
4.959999999999999999e-03,7.791286873007068348e-01
5.000000000000000104e-03,7.771557427692918907e-01
5.040000000000000209e-03,7.730413070963049194e-01
5.080000000000000314e-03,7.668460183439882449e-01
5.120000000000000419e-03,7.586355127635415752e-01
5.159999999999999656e-03,7.484795135333308647e-01
5.199999999999999761e-03,7.364516343792339992e-01
5.239999999999999866e-03,7.226298826026684718e-01
5.279999999999999971e-03,7.070978022167002663e-01
5.320000000000000076e-03,6.899461568800623334e-01
5.360000000000000181e-03,6.712750163732227326e-01
5.400000000000000286e-03,6.511960814986067492e-01
5.440000000000000391e-03,6.298350621817485617e-01
5.479999999999999628e-03,6.073339134313076038e-01
5.519999999999999733e-03,5.838527343949142523e-01
5.559999999999999838e-03,5.595711471698312511e-01
5.599999999999999943e-03,5.346889938535128728e-01
5.640000000000000048e-03,5.094262215410086947e-01
5.680000000000000153e-03,4.840218640619391999e-01
5.720000000000000258e-03,4.587320742201531076e-01
5.760000000000000363e-03,4.338272088291694750e-01
5.799999999999999600e-03,4.095880183779799788e-01
5.839999999999999705e-03,3.863010410803310313e-01
5.879999999999999810e-03,3.642533447788611767e-01
5.919999999999999915e-03,3.437267973153231293e-01
5.960000000000000020e-03,3.249920744935732020e-01
6.000000000000000125e-03,3.083026330550787675e-01
6.040000000000000230e-03,2.938888830997309909e-01
6.080000000000000335e-03,2.819527896635169451e-01
6.119999999999999572e-03,2.726631168883317247e-01
6.159999999999999677e-03,2.661515011954824206e-01
6.199999999999999782e-03,2.625095034987875442e-01
6.239999999999999887e-03,2.617867466755089412e-01
6.279999999999999992e-03,2.639901955746594697e-01
6.320000000000000097e-03,2.690845853876818738e-01
6.360000000000000202e-03,2.769939529813661427e-01
6.400000000000000307e-03,2.876041775298865399e-01
6.440000000000000412e-03,3.007663940490458154e-01
6.479999999999999649e-03,3.163011084881943713e-01
6.519999999999999754e-03,3.340028176929985548e-01
6.559999999999999859e-03,3.536449230932669496e-01
6.599999999999999964e-03,3.749847240581018482e-01
6.640000000000000069e-03,3.977682855068174206e-01
6.680000000000000174e-03,4.217349939256671565e-01
6.720000000000000279e-03,4.466216451572568302e-01
6.760000000000000384e-03,4.721659443957773039e-01
6.799999999999999621e-03,4.981093414890007676e-01
6.839999999999999726e-03,5.241991703567995264e-01
6.879999999999999831e-03,5.501901073605274251e-01
6.919999999999999936e-03,5.758450070659284492e-01
6.960000000000000041e-03,6.009352124545001006e-01
7.000000000000000146e-03,6.252404679774670182e-01
7.040000000000000251e-03,6.485485860721310614e-01
7.080000000000000356e-03,6.706550295767937930e-01
7.119999999999999593e-03,6.913625732142960612e-01
7.159999999999999698e-03,7.104811969553627149e-01
7.199999999999999803e-03,7.278283432768862804e-01
7.239999999999999908e-03,7.432296403815052965e-01
7.280000000000000013e-03,7.565201561829961729e-01
7.320000000000000118e-03,7.675462055751234303e-01
7.360000000000000223e-03,7.761676887923905088e-01
7.400000000000000328e-03,7.822608943039365270e-01
7.440000000000000432e-03,7.857216584193690290e-01
7.479999999999999670e-03,7.864687382244900382e-01
7.519999999999999775e-03,7.844472268813936777e-01
7.559999999999999880e-03,7.796318225385692191e-01
7.599999999999999985e-03,7.720297553501133114e-01
7.640000000000000090e-03,7.616831819989239305e-01
7.680000000000000195e-03,7.486708735686521399e-01
7.720000000000000299e-03,7.331090498369424724e-01
7.760000000000000404e-03,7.151512496443438449e-01
7.799999999999999642e-03,6.949871709371702178e-01
7.839999999999999747e-03,6.728404629416779859e-01
7.879999999999999852e-03,6.489655039403374737e-01
7.919999999999999957e-03,6.236432483748469702e-01
7.960000000000000062e-03,5.971762735984781356e-01
8.000000000000000167e-03,5.698831968348038179e-01
8.040000000000000271e-03,5.420926644132717520e-01
8.080000000000000376e-03,5.141371362785178700e-01
8.120000000000000481e-03,4.863466978493238835e-01
8.160000000000000586e-03,4.590431279585654445e-01
8.200000000000000691e-03,4.325344359843881215e-01
8.240000000000000796e-03,4.071100542520156296e-01
8.279999999999999166e-03,3.830368348853855354e-01
8.319999999999999271e-03,3.605559556459072557e-01
8.359999999999999376e-03,3.398807895051081940e-01
8.399999999999999481e-03,3.211957406670197246e-01
8.439999999999999586e-03,3.046559985379033719e-01
8.479999999999999691e-03,2.903881137529980005e-01
8.519999999999999796e-03,2.784912596149440867e-01
8.559999999999999901e-03,2.690390105954169053e-01
8.600000000000000006e-03,2.620814487884406963e-01
8.640000000000000110e-03,2.576474006212269297e-01
8.680000000000000215e-03,2.557466102390272278e-01
8.720000000000000320e-03,2.563716725325757562e-01
8.760000000000000425e-03,2.594995767616085081e-01
8.800000000000000530e-03,2.650927494332731560e-01
8.840000000000000635e-03,2.730995301991196444e-01
8.880000000000000740e-03,2.834540642422059831e-01
8.920000000000000845e-03,2.960756458266584623e-01
8.959999999999999215e-03,3.108675971354719070e-01
8.999999999999999320e-03,3.277158110506177557e-01
9.039999999999999425e-03,3.464871232091706332e-01
9.079999999999999530e-03,3.670277050099242655e-01
9.119999999999999635e-03,3.891616833458092506e-01
9.159999999999999740e-03,4.126901935093789664e-01
9.199999999999999845e-03,4.373910585675334084e-01
9.239999999999999949e-03,4.630192619649779462e-01
9.280000000000000054e-03,4.893083414511041340e-01
9.320000000000000159e-03,5.159727836492739028e-01
9.360000000000000264e-03,5.427114423721851599e-01
9.400000000000000369e-03,5.692119433114993798e-01
9.440000000000000474e-03,5.951559765038638705e-01
9.480000000000000579e-03,6.202253196384569511e-01
9.520000000000000684e-03,6.441083833817458082e-01
9.560000000000000789e-03,6.665070277209469429e-01
9.599999999999999159e-03,6.871433686489101245e-01
9.639999999999999264e-03,7.057662794512823412e-01
9.679999999999999369e-03,7.221572917380619794e-01
9.719999999999999474e-03,7.361356186244852884e-01
9.759999999999999579e-03,7.475620556179789489e-01
9.799999999999999684e-03,7.563415623947018496e-01
9.839999999999999789e-03,7.624243884780750324e-01
9.879999999999999893e-03,7.658056748435688732e-01
9.919999999999999998e-03,7.665235380607411386e-01
9.960000000000000103e-03,7.646557197410611684e-01
1.000000000000000021e-02,7.603149576075654004e-01
1.004000000000000031e-02,7.536433013144762105e-01
1.008000000000000042e-02,7.448056523851396271e-01
1.012000000000000052e-02,7.339828499777615312e-01
1.016000000000000063e-02,7.213646500082717683e-01
1.020000000000000073e-02,7.071429526999197801e-01
1.024000000000000084e-02,6.915056221086940402e-01
1.027999999999999921e-02,6.746312108486471892e-01
1.031999999999999931e-02,6.566848554088123846e-01
1.035999999999999942e-02,6.378155443972887140e-01
1.039999999999999952e-02,6.181548869286477288e-01
1.043999999999999963e-02,5.978174250652381616e-01
1.047999999999999973e-02,5.769024471235266738e-01
1.051999999999999984e-02,5.554971724379593745e-01
1.055999999999999994e-02,5.336810975424107761e-01
1.060000000000000005e-02,5.115312231632677120e-01
1.064000000000000015e-02,4.891278249259639055e-01
1.068000000000000026e-02,4.665603915687570047e-01
1.072000000000000036e-02,4.439333351579657916e-01
1.076000000000000047e-02,4.213710797029024957e-01
1.080000000000000057e-02,3.990221579536038510e-01
1.084000000000000068e-02,3.770619901605681834e-01
1.088000000000000078e-02,3.556940811991498586e-01
1.091999999999999915e-02,3.351494507071792750e-01
